PLATE,SOURCE,TIME
RJTTZCVO6021,webcam,2026-05-23 16:56:57
RJ11CV0002,webcam,2026-05-23 16:56:57
RJ11CV0002,webcam,2026-05-23 16:56:58
RJ11CVO0021,webcam,2026-05-23 16:56:58
RJ11V20C2,webcam,2026-05-23 17:00:12
RJ11CV0002,webcam,2026-05-23 17:00:12
RJ11CV0002,webcam,2026-05-23 17:00:12
RJ11CVO0024,webcam,2026-05-23 17:00:13
RJ11CV0002,webcam,2026-05-23 17:00:13
RJ1GCVO0027,webcam,2026-05-23 17:03:04
RJ1GCV0027,webcam,2026-05-23 17:03:05
RJ12CV0Q,webcam,2026-05-23 17:03:05
RJ12CV002,webcam,2026-05-23 17:03:06
RJ1CCVO002T,webcam,2026-05-23 17:03:07
RJ12CV0005,webcam,2026-05-23 17:03:08
RJ1CCV0002,webcam,2026-05-23 17:03:08
RJ14CV0002,webcam,2026-05-23 17:03:09
RJ14CV0002,webcam,2026-05-23 17:03:09
RJ14CV0002,webcam,2026-05-23 17:03:09
HR98AA7777,webcam,2026-05-23 17:05:17
HR98AA7777,webcam,2026-05-23 17:05:18
HR98AA7777,webcam,2026-05-23 17:05:18
HR98AA7777,webcam,2026-05-23 17:05:19
HR98AA7777,webcam,2026-05-23 17:05:19
ZZ8H6517,webcam,2026-05-23 17:06:53
ZZ8H6517A,webcam,2026-05-23 17:06:54
ZZ8H6517A,webcam,2026-05-23 17:06:55
ZZ8H6517A,webcam,2026-05-23 17:06:55
ZZ8H6517A,webcam,2026-05-23 17:06:56
ZZ8H6517A,webcam,2026-05-23 17:06:56
22BH6517,webcam,2026-05-23 17:10:58
22BH6517A,webcam,2026-05-23 17:10:59
22BH6517A,webcam,2026-05-23 17:11:00
22BH6517A,webcam,2026-05-23 17:11:00
22BH651A,webcam,2026-05-23 17:11:01
22BH6517A,webcam,2026-05-23 17:11:01
RJ12CV0002,webcam,2026-05-23 17:12:04
RJ14CV0002,webcam,2026-05-23 17:12:05
RJ14CVO002C,webcam,2026-05-23 17:12:05
RJ4C1002,webcam,2026-05-23 17:12:05
RJ4CI0002,webcam,2026-05-23 17:12:06
RJT2CTC0002,webcam,2026-05-23 17:14:19
IDRJICCV0002,webcam,2026-05-23 17:14:19
RJ14CV0002,webcam,2026-05-23 17:14:20
